Object_ID	Epoch	Mag	Filter	Survey
V2492_Cyg	2455436.35738	15.013	V	AAVSO_Johnson
V2492_Cyg	2455436.35810	15.028	V	AAVSO_Johnson
V2492_Cyg	2455436.35883	15.050	V	AAVSO_Johnson
V2492_Cyg	2455436.35956	15.017	V	AAVSO_Johnson
V2492_Cyg	2455436.36029	15.042	V	AAVSO_Johnson
V2492_Cyg	2455436.36101	15.020	V	AAVSO_Johnson
V2492_Cyg	2455436.36174	15.044	V	AAVSO_Johnson
V2492_Cyg	2455436.36245	15.060	V	AAVSO_Johnson
V2492_Cyg	2455436.36318	15.031	V	AAVSO_Johnson
V2492_Cyg	2455436.36391	15.071	V	AAVSO_Johnson
V2492_Cyg	2455436.36463	15.025	V	AAVSO_Johnson
V2492_Cyg	2455436.36536	15.052	V	AAVSO_Johnson
V2492_Cyg	2455436.36608	15.038	V	AAVSO_Johnson
V2492_Cyg	2455436.36681	15.011	V	AAVSO_Johnson
V2492_Cyg	2455436.36753	15.042	V	AAVSO_Johnson
V2492_Cyg	2455436.36825	15.008	V	AAVSO_Johnson
V2492_Cyg	2455436.36898	15.061	V	AAVSO_Johnson
V2492_Cyg	2455436.36971	15.025	V	AAVSO_Johnson
V2492_Cyg	2455436.37043	15.051	V	AAVSO_Johnson
V2492_Cyg	2455436.37116	15.048	V	AAVSO_Johnson
V2492_Cyg	2455436.37189	15.018	V	AAVSO_Johnson
V2492_Cyg	2455436.37260	15.062	V	AAVSO_Johnson
V2492_Cyg	2455436.37333	15.069	V	AAVSO_Johnson
V2492_Cyg	2455436.37406	15.075	V	AAVSO_Johnson
V2492_Cyg	2455436.37478	15.096	V	AAVSO_Johnson
V2492_Cyg	2455436.37551	15.086	V	AAVSO_Johnson
V2492_Cyg	2455436.37624	15.047	V	AAVSO_Johnson
V2492_Cyg	2455436.37696	15.055	V	AAVSO_Johnson
V2492_Cyg	2455436.37769	15.036	V	AAVSO_Johnson
V2492_Cyg	2455436.37840	15.033	V	AAVSO_Johnson
V2492_Cyg	2455436.37913	15.045	V	AAVSO_Johnson
V2492_Cyg	2455436.37986	15.047	V	AAVSO_Johnson
V2492_Cyg	2455436.38058	15.056	V	AAVSO_Johnson
V2492_Cyg	2455436.38131	15.070	V	AAVSO_Johnson
V2492_Cyg	2455436.38204	15.081	V	AAVSO_Johnson
V2492_Cyg	2455436.38275	15.035	V	AAVSO_Johnson
V2492_Cyg	2455436.38348	15.055	V	AAVSO_Johnson
V2492_Cyg	2455436.38420	15.027	V	AAVSO_Johnson
V2492_Cyg	2455436.38493	15.101	V	AAVSO_Johnson
V2492_Cyg	2455436.38566	15.051	V	AAVSO_Johnson
V2492_Cyg	2455436.38638	15.065	V	AAVSO_Johnson
V2492_Cyg	2455436.38711	15.059	V	AAVSO_Johnson
V2492_Cyg	2455436.38902	15.037	V	AAVSO_Johnson
V2492_Cyg	2455436.38973	15.040	V	AAVSO_Johnson
V2492_Cyg	2455436.39046	15.034	V	AAVSO_Johnson
V2492_Cyg	2455436.39118	15.051	V	AAVSO_Johnson
V2492_Cyg	2455436.39191	15.063	V	AAVSO_Johnson
V2492_Cyg	2455436.39264	15.028	V	AAVSO_Johnson
V2492_Cyg	2455436.39336	15.002	V	AAVSO_Johnson
V2492_Cyg	2455436.39409	15.045	V	AAVSO_Johnson
V2492_Cyg	2455436.39481	15.085	V	AAVSO_Johnson
V2492_Cyg	2455436.39553	15.052	V	AAVSO_Johnson
V2492_Cyg	2455436.39626	15.074	V	AAVSO_Johnson
V2492_Cyg	2455436.39699	15.059	V	AAVSO_Johnson
V2492_Cyg	2455436.39771	15.054	V	AAVSO_Johnson
V2492_Cyg	2455436.39844	15.054	V	AAVSO_Johnson
V2492_Cyg	2455436.39916	15.049	V	AAVSO_Johnson
V2492_Cyg	2455436.39988	14.999	V	AAVSO_Johnson
V2492_Cyg	2455436.40061	15.053	V	AAVSO_Johnson
V2492_Cyg	2455436.40133	15.014	V	AAVSO_Johnson
V2492_Cyg	2455436.40206	15.096	V	AAVSO_Johnson
V2492_Cyg	2455436.40279	15.083	V	AAVSO_Johnson
V2492_Cyg	2455436.40351	15.016	V	AAVSO_Johnson
V2492_Cyg	2455436.40424	15.041	V	AAVSO_Johnson
V2492_Cyg	2455436.40497	15.013	V	AAVSO_Johnson
V2492_Cyg	2455436.40568	15.079	V	AAVSO_Johnson
V2492_Cyg	2455436.40641	15.052	V	AAVSO_Johnson
V2492_Cyg	2455436.40714	15.067	V	AAVSO_Johnson
V2492_Cyg	2455436.40786	15.069	V	AAVSO_Johnson
V2492_Cyg	2455436.40859	15.052	V	AAVSO_Johnson
V2492_Cyg	2455436.40931	15.062	V	AAVSO_Johnson
V2492_Cyg	2455436.41003	15.090	V	AAVSO_Johnson
V2492_Cyg	2455436.41076	15.051	V	AAVSO_Johnson
V2492_Cyg	2455436.41148	14.996	V	AAVSO_Johnson
V2492_Cyg	2455436.41221	14.992	V	AAVSO_Johnson
V2492_Cyg	2455436.41294	15.012	V	AAVSO_Johnson
V2492_Cyg	2455436.41366	15.070	V	AAVSO_Johnson
V2492_Cyg	2455436.41439	15.005	V	AAVSO_Johnson
V2492_Cyg	2455436.41510	15.076	V	AAVSO_Johnson
V2492_Cyg	2455436.41583	15.019	V	AAVSO_Johnson
V2492_Cyg	2455436.41656	15.072	V	AAVSO_Johnson
V2492_Cyg	2455436.41728	15.075	V	AAVSO_Johnson
V2492_Cyg	2455436.41801	15.096	V	AAVSO_Johnson
V2492_Cyg	2455436.41874	15.076	V	AAVSO_Johnson
V2492_Cyg	2455436.41946	15.020	V	AAVSO_Johnson
V2492_Cyg	2455436.42019	15.040	V	AAVSO_Johnson
V2492_Cyg	2455436.42091	15.050	V	AAVSO_Johnson
V2492_Cyg	2455436.42163	15.054	V	AAVSO_Johnson
V2492_Cyg	2455436.42236	15.024	V	AAVSO_Johnson
V2492_Cyg	2455436.42309	15.022	V	AAVSO_Johnson
V2492_Cyg	2455436.42381	15.133	V	AAVSO_Johnson
V2492_Cyg	2455436.42454	15.047	V	AAVSO_Johnson
V2492_Cyg	2455436.42527	15.021	V	AAVSO_Johnson
V2492_Cyg	2455436.42598	15.068	V	AAVSO_Johnson
V2492_Cyg	2455436.42671	15.003	V	AAVSO_Johnson
V2492_Cyg	2455436.42744	15.031	V	AAVSO_Johnson
V2492_Cyg	2455436.42816	15.068	V	AAVSO_Johnson
V2492_Cyg	2455436.42889	15.068	V	AAVSO_Johnson
V2492_Cyg	2455436.42961	14.987	V	AAVSO_Johnson
V2492_Cyg	2455436.43034	15.039	V	AAVSO_Johnson
V2492_Cyg	2455436.43106	15.020	V	AAVSO_Johnson
V2492_Cyg	2455436.43178	15.019	V	AAVSO_Johnson
V2492_Cyg	2455436.43251	14.995	V	AAVSO_Johnson
V2492_Cyg	2455436.43324	15.060	V	AAVSO_Johnson
V2492_Cyg	2455436.43396	15.036	V	AAVSO_Johnson
V2492_Cyg	2455436.43469	15.009	V	AAVSO_Johnson
V2492_Cyg	2455436.43542	15.068	V	AAVSO_Johnson
V2492_Cyg	2455436.43613	15.078	V	AAVSO_Johnson
V2492_Cyg	2455436.43686	15.124	V	AAVSO_Johnson
V2492_Cyg	2455436.43759	15.030	V	AAVSO_Johnson
V2492_Cyg	2455436.43831	15.014	V	AAVSO_Johnson
V2492_Cyg	2455436.43904	14.994	V	AAVSO_Johnson
V2492_Cyg	2455436.43977	15.045	V	AAVSO_Johnson
V2492_Cyg	2455436.44049	15.016	V	AAVSO_Johnson
V2492_Cyg	2455436.44122	15.006	V	AAVSO_Johnson
V2492_Cyg	2455436.44194	15.051	V	AAVSO_Johnson
V2492_Cyg	2455436.44266	15.064	V	AAVSO_Johnson
V2492_Cyg	2455436.44339	15.063	V	AAVSO_Johnson
V2492_Cyg	2455436.44411	15.073	V	AAVSO_Johnson
V2492_Cyg	2455436.44484	15.013	V	AAVSO_Johnson
V2492_Cyg	2455436.44557	15.087	V	AAVSO_Johnson
V2492_Cyg	2455436.44628	15.092	V	AAVSO_Johnson
V2492_Cyg	2455436.44701	15.092	V	AAVSO_Johnson
V2492_Cyg	2455436.44774	15.043	V	AAVSO_Johnson
V2492_Cyg	2455436.44847	15.012	V	AAVSO_Johnson
V2492_Cyg	2455436.44919	15.088	V	AAVSO_Johnson
V2492_Cyg	2455436.44992	15.079	V	AAVSO_Johnson
V2492_Cyg	2455436.45065	15.009	V	AAVSO_Johnson
V2492_Cyg	2455436.45137	15.088	V	AAVSO_Johnson
V2492_Cyg	2455436.45209	14.994	V	AAVSO_Johnson
V2492_Cyg	2455436.45282	15.052	V	AAVSO_Johnson
V2492_Cyg	2455436.45354	15.037	V	AAVSO_Johnson
V2492_Cyg	2455436.45427	15.077	V	AAVSO_Johnson
V2492_Cyg	2455436.45499	15.072	V	AAVSO_Johnson
V2492_Cyg	2455436.45572	15.028	V	AAVSO_Johnson
V2492_Cyg	2455436.45645	15.107	V	AAVSO_Johnson
V2492_Cyg	2455436.45716	15.083	V	AAVSO_Johnson
V2492_Cyg	2455437.38443	14.935	V	AAVSO_Johnson
V2492_Cyg	2455437.38728	15.032	V	AAVSO_Johnson
V2492_Cyg	2455437.39012	14.936	V	AAVSO_Johnson
V2492_Cyg	2455437.39296	15.007	V	AAVSO_Johnson
V2492_Cyg	2455437.39581	15.061	V	AAVSO_Johnson
V2492_Cyg	2455437.39865	14.981	V	AAVSO_Johnson
V2492_Cyg	2455437.40149	15.067	V	AAVSO_Johnson
V2492_Cyg	2455437.40434	15.019	V	AAVSO_Johnson
V2492_Cyg	2455437.40718	14.844	V	AAVSO_Johnson
V2492_Cyg	2455437.41002	14.955	V	AAVSO_Johnson
V2492_Cyg	2455437.41287	14.849	V	AAVSO_Johnson
V2492_Cyg	2455437.41572	14.986	V	AAVSO_Johnson
V2492_Cyg	2455437.41855	14.927	V	AAVSO_Johnson
V2492_Cyg	2455437.42140	14.908	V	AAVSO_Johnson
V2492_Cyg	2455437.42425	14.924	V	AAVSO_Johnson
V2492_Cyg	2455437.42708	14.894	V	AAVSO_Johnson
V2492_Cyg	2455437.42993	14.974	V	AAVSO_Johnson
V2492_Cyg	2455437.43278	15.035	V	AAVSO_Johnson
V2492_Cyg	2455437.43561	15.122	V	AAVSO_Johnson
V2492_Cyg	2455437.43846	14.814	V	AAVSO_Johnson
V2492_Cyg	2455437.44131	14.931	V	AAVSO_Johnson
V2492_Cyg	2455437.44414	14.971	V	AAVSO_Johnson
V2492_Cyg	2455437.44699	14.922	V	AAVSO_Johnson
V2492_Cyg	2455437.44984	15.007	V	AAVSO_Johnson
V2492_Cyg	2455437.45267	14.917	V	AAVSO_Johnson
V2492_Cyg	2455437.61905	14.863	V	AAVSO_Johnson
V2492_Cyg	2455438.36804	15.033	V	AAVSO_Johnson
V2492_Cyg	2455438.36877	14.999	V	AAVSO_Johnson
V2492_Cyg	2455438.36949	15.037	V	AAVSO_Johnson
V2492_Cyg	2455438.37022	15.050	V	AAVSO_Johnson
V2492_Cyg	2455438.37090	15.117	V	AAVSO_Johnson
V2492_Cyg	2455438.37095	15.012	V	AAVSO_Johnson
V2492_Cyg	2455438.37167	15.001	V	AAVSO_Johnson
V2492_Cyg	2455438.37240	15.069	V	AAVSO_Johnson
V2492_Cyg	2455438.37313	15.053	V	AAVSO_Johnson
V2492_Cyg	2455438.37375	15.114	V	AAVSO_Johnson
V2492_Cyg	2455438.37384	15.018	V	AAVSO_Johnson
V2492_Cyg	2455438.37457	15.026	V	AAVSO_Johnson
V2492_Cyg	2455438.37530	15.023	V	AAVSO_Johnson
V2492_Cyg	2455438.37602	15.000	V	AAVSO_Johnson
V2492_Cyg	2455438.37660	15.202	V	AAVSO_Johnson
V2492_Cyg	2455438.37675	15.070	V	AAVSO_Johnson
V2492_Cyg	2455438.37747	15.035	V	AAVSO_Johnson
V2492_Cyg	2455438.37819	15.055	V	AAVSO_Johnson
V2492_Cyg	2455438.37892	15.052	V	AAVSO_Johnson
V2492_Cyg	2455438.37943	15.104	V	AAVSO_Johnson
V2492_Cyg	2455438.37964	15.022	V	AAVSO_Johnson
V2492_Cyg	2455438.38037	15.002	V	AAVSO_Johnson
V2492_Cyg	2455438.38110	15.003	V	AAVSO_Johnson
V2492_Cyg	2455438.38182	15.039	V	AAVSO_Johnson
V2492_Cyg	2455438.38228	15.033	V	AAVSO_Johnson
V2492_Cyg	2455438.38255	15.055	V	AAVSO_Johnson
V2492_Cyg	2455438.38326	15.032	V	AAVSO_Johnson
V2492_Cyg	2455438.38399	15.023	V	AAVSO_Johnson
V2492_Cyg	2455438.38472	15.053	V	AAVSO_Johnson
V2492_Cyg	2455438.38513	15.088	V	AAVSO_Johnson
V2492_Cyg	2455438.38544	15.007	V	AAVSO_Johnson
V2492_Cyg	2455438.38617	15.014	V	AAVSO_Johnson
V2492_Cyg	2455438.38690	15.029	V	AAVSO_Johnson
V2492_Cyg	2455438.38762	15.052	V	AAVSO_Johnson
V2492_Cyg	2455438.38796	15.022	V	AAVSO_Johnson
V2492_Cyg	2455438.38834	15.017	V	AAVSO_Johnson
V2492_Cyg	2455438.38907	15.032	V	AAVSO_Johnson
V2492_Cyg	2455438.38979	15.005	V	AAVSO_Johnson
V2492_Cyg	2455438.39052	15.058	V	AAVSO_Johnson
V2492_Cyg	2455438.39081	15.159	V	AAVSO_Johnson
V2492_Cyg	2455438.39125	15.070	V	AAVSO_Johnson
V2492_Cyg	2455438.39197	15.070	V	AAVSO_Johnson
V2492_Cyg	2455438.39270	15.036	V	AAVSO_Johnson
V2492_Cyg	2455438.39341	15.011	V	AAVSO_Johnson
V2492_Cyg	2455438.39366	15.072	V	AAVSO_Johnson
V2492_Cyg	2455438.39414	15.040	V	AAVSO_Johnson
V2492_Cyg	2455438.39487	15.018	V	AAVSO_Johnson
V2492_Cyg	2455438.39559	15.064	V	AAVSO_Johnson
V2492_Cyg	2455438.39632	15.080	V	AAVSO_Johnson
V2492_Cyg	2455438.39649	15.141	V	AAVSO_Johnson
V2492_Cyg	2455438.39794	15.027	V	AAVSO_Johnson
V2492_Cyg	2455438.39934	15.063	V	AAVSO_Johnson
V2492_Cyg	2455438.39935	15.022	V	AAVSO_Johnson
V2492_Cyg	2455438.40078	15.038	V	AAVSO_Johnson
V2492_Cyg	2455438.40219	15.109	V	AAVSO_Johnson
